fips,county_name,state_name,category,topic_area,year,variable_name,value
1009,Blount County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,3.843966008
1009,Blount County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.965300881
1011,Bullock County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1011,Bullock County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1011,Bullock County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1011,Bullock County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1011,Bullock County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1011,Bullock County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,4.3
1013,Butler County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1013,Butler County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1013,Butler County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,3
1013,Butler County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1013,Butler County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1013,Butler County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.6
1013,Butler County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.513240858
1013,Butler County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,1.31147541
1015,Calhoun County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1015,Calhoun County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,12
1015,Calhoun County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,14
1015,Calhoun County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,12
1015,Calhoun County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,8
1015,Calhoun County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.9
1015,Calhoun County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.368454083
1015,Calhoun County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.052297608
1017,Chambers County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1017,Chambers County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1017,Chambers County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,3
1017,Chambers County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
1017,Chambers County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1017,Chambers County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.4
1017,Chambers County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.94918874
1019,Cherokee County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1019,Cherokee County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1019,Cherokee County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1019,Cherokee County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1019,Cherokee County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1019,Cherokee County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8.3
1019,Cherokee County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.464090962
1021,Chilton County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1021,Chilton County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,1
1021,Chilton County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,1
1021,Chilton County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1021,Chilton County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1021,Chilton County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8.1
1021,Chilton County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,16.99684571
1023,Choctaw County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1023,Choctaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1023,Choctaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1023,Choctaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1023,Choctaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,2
1023,Choctaw County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.4
1023,Choctaw County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.386249517
1025,Clarke County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1025,Clarke County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,5
1025,Clarke County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,5
1025,Clarke County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1025,Clarke County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,4
1025,Clarke County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,5.4
1025,Clarke County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.456753727
1025,Clarke County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.622845991
1027,Clay County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1027,Clay County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1027,Clay County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1027,Clay County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1027,Clay County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1027,Clay County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.8
1027,Clay County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,21.17154186
1029,Cleburne County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1029,Cleburne County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1029,Cleburne County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1029,Cleburne County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1029,Cleburne County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1029,Cleburne County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8
1029,Cleburne County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,17.38255034
1031,Coffee County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1031,Coffee County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1031,Coffee County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1031,Coffee County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1031,Coffee County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,2
1031,Coffee County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.5
1031,Coffee County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,3.527778849
1033,Colbert County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1033,Colbert County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1033,Colbert County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,3
1033,Colbert County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,2
1033,Colbert County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1033,Colbert County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.4
1033,Colbert County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.47706422
1033,Colbert County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.587155963
1035,Conecuh County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1035,Conecuh County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1035,Conecuh County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,3
1035,Conecuh County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1035,Conecuh County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1035,Conecuh County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,5.6
1035,Conecuh County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,4.009944663
1037,Coosa County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1037,Coosa County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,1
1037,Coosa County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,1
1037,Coosa County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1037,Coosa County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1037,Coosa County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.9
1037,Coosa County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.115863865
1039,Covington County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1039,Covington County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1039,Covington County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,5
1039,Covington County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,2
1039,Covington County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1039,Covington County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.6
1039,Covington County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,6.308637981
1041,Crenshaw County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1041,Crenshaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1041,Crenshaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1041,Crenshaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1041,Crenshaw County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1041,Crenshaw County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.2
1041,Crenshaw County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.937207123
1043,Cullman County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1043,Cullman County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,1
1043,Cullman County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1043,Cullman County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1043,Cullman County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1043,Cullman County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8.2
1043,Cullman County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,5.945260105
1043,Cullman County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,1.341308682
1045,Dale County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1045,Dale County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,1
1045,Dale County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1045,Dale County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1045,Dale County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1045,Dale County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.7
1045,Dale County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.523585097
1045,Dale County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.060943404
1047,Dallas County,Alabama,Food Access,Food Insecurity,2018,food_banks,1
1047,Dallas County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,4
1047,Dallas County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,8
1047,Dallas County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,2
1047,Dallas County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,7
1047,Dallas County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,4.6
1047,Dallas County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,2.499043733
1049,DeKalb County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1049,DeKalb County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1049,DeKalb County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1049,DeKalb County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1049,DeKalb County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1049,DeKalb County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8.2
1049,DeKalb County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,3.756091431
1051,Elmore County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1051,Elmore County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,1
1051,Elmore County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,1
1051,Elmore County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1051,Elmore County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1051,Elmore County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.6
1051,Elmore County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.22433488
1053,Escambia County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1053,Escambia County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1053,Escambia County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,3
1053,Escambia County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,2
1053,Escambia County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1053,Escambia County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.6
1053,Escambia County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.014767538
1053,Escambia County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.026704409
1055,Etowah County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1055,Etowah County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,9
1055,Etowah County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,13
1055,Etowah County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,9
1055,Etowah County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,2
1055,Etowah County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.1
1055,Etowah County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.661768284
1055,Etowah County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,2.286993334
1057,Fayette County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1057,Fayette County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1057,Fayette County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1057,Fayette County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1057,Fayette County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1057,Fayette County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.9
1057,Fayette County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.335924217
1059,Franklin County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1059,Franklin County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1059,Franklin County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1059,Franklin County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,2
1059,Franklin County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1059,Franklin County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.9
1059,Franklin County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.492300365
1061,Geneva County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1061,Geneva County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,1
1061,Geneva County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,1
1061,Geneva County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1061,Geneva County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1061,Geneva County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.8
1061,Geneva County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,6.62351917
1063,Greene County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1063,Greene County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1063,Greene County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1063,Greene County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1063,Greene County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1063,Greene County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,3.2
1063,Greene County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,5.642256903
1065,Hale County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1065,Hale County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1065,Hale County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1065,Hale County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1065,Hale County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1065,Hale County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.1
1065,Hale County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,2.430461788
1067,Henry County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1067,Henry County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1067,Henry County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1067,Henry County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1067,Henry County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,0
1067,Henry County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.9
1067,Henry County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,3.149238934
1069,Houston County,Alabama,Food Access,Food Insecurity,2018,food_banks,1
1069,Houston County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1069,Houston County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,7
1069,Houston County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
1069,Houston County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1069,Houston County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.1
1069,Houston County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,2.462959768
1069,Houston County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,1.00626761
1071,Jackson County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1071,Jackson County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1071,Jackson County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,3
1071,Jackson County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,2
1071,Jackson County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,4
1071,Jackson County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.9
1071,Jackson County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,5.182145678
1073,Jefferson County,Alabama,Food Access,Food Insecurity,2018,food_banks,1
1073,Jefferson County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,54
1073,Jefferson County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,81
1073,Jefferson County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,54
1073,Jefferson County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,50
1073,Jefferson County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.3
1073,Jefferson County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.125910767
1073,Jefferson County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.103155809
1075,Lamar County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1075,Lamar County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1075,Lamar County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1075,Lamar County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1075,Lamar County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,2
1075,Lamar County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.8
1075,Lamar County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.649218414
1077,Lauderdale County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1077,Lauderdale County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,4
1077,Lauderdale County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,9
1077,Lauderdale County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
1077,Lauderdale County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,7
1077,Lauderdale County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.6
1077,Lauderdale County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.664181201
1077,Lauderdale County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.0756446
1079,Lawrence County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1079,Lawrence County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1079,Lawrence County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1079,Lawrence County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1079,Lawrence County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,2
1079,Lawrence County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8
1079,Lawrence County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,4.054585615
1081,Lee County,Alabama,Food Access,Food Insecurity,2018,food_banks,1
1081,Lee County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,10
1081,Lee County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,15
1081,Lee County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,10
1081,Lee County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,6
1081,Lee County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,6.4
1081,Lee County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.48266132
1081,Lee County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,6.806762209
1083,Limestone County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1083,Limestone County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,3
1083,Limestone County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,4
1083,Limestone County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
1083,Limestone County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1083,Limestone County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8.1
1083,Limestone County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,2.521133027
1083,Limestone County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.370754857
1085,Lowndes County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1085,Lowndes County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,2
1085,Lowndes County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,2
1085,Lowndes County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1085,Lowndes County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,4
1085,Lowndes County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,4.6
1085,Lowndes County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,2.580389043
1087,Macon County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1087,Macon County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,7
1087,Macon County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,8
1087,Macon County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,5
1087,Macon County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,4
1087,Macon County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,4
1087,Macon County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,6.878165822
1087,Macon County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,1.119701413
1089,Madison County,Alabama,Food Access,Food Insecurity,2018,food_banks,1
1089,Madison County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,17
1089,Madison County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,26
1089,Madison County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,17
1089,Madison County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,11
1089,Madison County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.5
1089,Madison County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.866925544
1091,Marengo County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
